"Лоток складской Система 7000 (500х230х150мм)",https://images.ru.prom.st/72079740_lotok-skladskoj-sistema.jpg||https://images.ru.prom.st/72079741_lotok-skladskoj-sistema.jpg
"Ящик пластиковый KLT 6147 (594х396х147,5мм)",https://images.ru.prom.st/72079786_yaschik-plastikovyj-klt.jpg||https://images.ru.prom.st/72079785_yaschik-plastikovyj-klt.jpg
"Паллет BiPP, сплошной на полозьях 1200х800х165мм",https://images.ru.prom.st/72079890_pallet-bipp-sploshnoj.jpg||https://images.ru.prom.st/72079891_pallet-bipp-sploshnoj.jpg
"Паллет BiPP, перфорированный на полозьях 1200х800х165мм",https://images.ru.prom.st/72079894_pallet-bipp-perforirovannyj.jpg||https://images.ru.prom.st/72079895_pallet-bipp-perforirovannyj.jpg
"Контейнер 96х105х45мм (объем 0,2л, вес 0,04кг)",https://images.ru.prom.st/72079689_kontejner-96h105h45mm-obem.jpg
"Контейнер 500х310х200мм (объем 25л, вес 1,2кг)",https://images.ru.prom.st/72079698_kontejner-500h310h200mm-obem.jpg
"Контейнер 500х310х250мм (объем 33л, вес 1,6кг)",https://images.ru.prom.st/72079699_kontejner-500h310h250mm-obem.jpg
"Контейнер 400х115х100мм (объем 3,4л, вес 0,3кг)",https://images.ru.prom.st/72079873_kontejner-400h115h100mm-obem.jpg
"Контейнер 400х230х150мм (объем 11л, вес 0,6кг)",https://images.ru.prom.st/72079787_kontejner-400h230h150mm-obem.jpg||https://images.ru.prom.st/72079788_kontejner-400h230h150mm-obem.jpg
"Контейнер 500х115х100мм (объем 4,4л, вес 0,5кг)",https://images.ru.prom.st/72079879_kontejner-500h115h100mm-obem.jpg
"Контейнер 500х230х100мм (объем 8,7л, вес 0,5кг)",https://images.ru.prom.st/72079880_kontejner-500h230h100mm-obem.jpg||https://images.ru.prom.st/72079881_kontejner-500h230h100mm-obem.jpg||https://images.ru.prom.st/72079882_kontejner-500h230h100mm-obem.jpg
"Контейнер 600х115х100мм (объем 5,2л, вес 0,5кг)",https://images.ru.prom.st/72079885_kontejner-600h115h100mm-obem.jpg||https://images.ru.prom.st/72079886_kontejner-600h115h100mm-obem.jpg
"Складской контейнер пластиковый KLT 4315, (396х297х147,5мм)",https://images.ru.prom.st/72079736_skladskoj-kontejner-plastikovyj.jpg||https://images.ru.prom.st/72079737_skladskoj-kontejner-plastikovyj.jpg||https://images.ru.prom.st/72079738_skladskoj-kontejner-plastikovyj.jpg
"Ящик пластиковый универсальный (396х297х147,5мм)",https://images.ru.prom.st/95526821_yaschik-plastikovyj-universalnyj.jpg
"Лоток складской System 7000 (290х230х150мм)",https://images.ru.prom.st/72079961_lotok-skladskoj-system.jpg||https://images.ru.prom.st/79381830_lotok-skladskoj-system.jpg
"Паллет BiPP, перфорированный, на 9 ножках, с бортиком 1200х800х140мм",https://images.ru.prom.st/72079841_pallet-bipp-perforirovannyj.jpg||https://images.ru.prom.st/72079842_pallet-bipp-perforirovannyj.jpg
"Ящик пластиковый KLT 3147 (297х198х147,5мм)",https://images.ru.prom.st/72079713_yaschik-plastikovyj-klt.jpg||https://images.ru.prom.st/72079712_yaschik-plastikovyj-klt.jpg
"Ящик хлебный невкладываемый (600х400х150мм)",https://images.ru.prom.st/301185305_yaschik-hlebnyj-nevkladyvaemyj.jpg||https://images.ru.prom.st/72079860_yaschik-hlebnyj-nevkladyvaemyj.jpg
"Лист из сотового полипропилена 2000х3000х3,0мм (600 г/м2)",https://images.ru.prom.st/72079980_list-iz-sotovogo.jpg||https://images.ru.prom.st/72079981_list-iz-sotovogo.jpg||https://images.ru.prom.st/72079982_list-iz-sotovogo.jpg
"Контейнер Big Box сплошной на ножках с пробкой (1200х1000х760мм)",https://images.ru.prom.st/72079781_kontejner-big-box.jpg
"Контейнер Big Box сплошной на полозьях (1200х1000х790мм)",https://images.ru.prom.st/72079783_kontejner-big-box.jpg
"Короб 890x600х500мм с ручками и уголками для штабелирования",https://images.ru.prom.st/140168070_korob-890x600h500mm-s.jpg||https://images.ru.prom.st/140168074_korob-890x600h500mm-s.jpg||https://images.ru.prom.st/72079791_korob-890x600h500mm-s.jpg||https://images.ru.prom.st/72079792_korob-890x600h500mm-s.jpg
"Вкладываемый штабелируемый контейнер ""Integra"" 400x300x300",https://images.ru.prom.st/72079806_vkladyvaemyj-shtabeliruemyj-kontejner.jpg||https://images.ru.prom.st/80123345_vkladyvaemyj-shtabeliruemyj-kontejner.jpg||https://images.ru.prom.st/80123346_vkladyvaemyj-shtabeliruemyj-kontejner.jpg
"Стеллаж для крепления пластиковых лотков (1500x930мм)",https://images.ru.prom.st/72080039_stellazh-dlya-krepleniya.jpg||https://images.ru.prom.st/72080040_stellazh-dlya-krepleniya.jpg||https://images.ru.prom.st/72080041_stellazh-dlya-krepleniya.jpg
"Стеллаж двусторонний для складских лотков (2000x930мм)",https://images.ru.prom.st/84508168_stellazh-dvustoronnij-dlya.jpg||https://images.ru.prom.st/72080064_stellazh-dvustoronnij-dlya.jpg||https://images.ru.prom.st/72080065_stellazh-dvustoronnij-dlya.jpg
"Паллет перфорированный, на 9 ножках усиленный 1200х800х140мм",https://images.ru.prom.st/72079903_pallet-perforirovannyj-na.jpg||https://images.ru.prom.st/72079904_pallet-perforirovannyj-na.jpg||https://images.ru.prom.st/72079905_pallet-perforirovannyj-na.jpg
"Паллет перфорированный на 6-ти полозьях (1200x1200x156мм)",https://images.ru.prom.st/72079923_pallet-perforirovannyj-na.jpg
"Лоток складской 300х225х150мм",https://images.ru.prom.st/72079993_lotok-skladskoj-300h225h150mm.jpg||https://images.ru.prom.st/316046237_lotok-skladskoj-300h225h150mm.jpg
"Лоток складской 350х225х150мм",https://images.ru.prom.st/72079994_lotok-skladskoj-350h225h150mm.jpg||https://images.ru.prom.st/72079995_lotok-skladskoj-350h225h150mm.jpg||https://images.ru.prom.st/72079996_lotok-skladskoj-350h225h150mm.jpg||https://images.ru.prom.st/72079997_lotok-skladskoj-350h225h150mm.jpg
"Лоток Logic Store 500х225х150мм",https://images.ru.prom.st/72080005_lotok-logic-store.jpg||https://images.ru.prom.st/72080006_lotok-logic-store.jpg||https://images.ru.prom.st/72080007_lotok-logic-store.jpg||https://images.ru.prom.st/72080008_lotok-logic-store.jpg
"Перегородка по ширине 295х190мм",https://images.ru.prom.st/72080021_peregorodka-po-shirine.jpg||https://images.ru.prom.st/72080022_peregorodka-po-shirine.jpg
"Перегородка по ширине 295х240мм",https://images.ru.prom.st/72080023_peregorodka-po-shirine.jpg||https://images.ru.prom.st/72080024_peregorodka-po-shirine.jpg
